Address,Building,Organization
大成名座,综合楼,世纪建材市场
同一村,绿都金域三江小区,红十五线恒逸高新材料有限公司
大江东产业集聚区,东江公寓,永宁尔集团股份有限公司
萧山高教园耕文路,申龙公寓,淘款基地
临港工业园区,一方大厦,钱江电声办公楼
时代大道,南峰公寓,阳光幼儿园
萧西路,洄澜北苑,中栋国际银座
银河小区,绿都百瑞,萧山农商银行
空港国际,雅库大楼,（最后一排）
向阳路,郁金香岸花园,农业大厦市民服务中心
宁税路,郁金香岸揽江苑,浙江建筑职业技术学院
江东工业园区,宝龙广场,亿美实业有限公司
五金路,馨星大厦,胖胖哥大码男装收
江南村,发展广场,小学校
金域兰庭,王池小区,（不要放物业
向阳社区,通达小区,钱江农场一分场
钱农东路,星际公寓,万力轮胎
道前进,明江苑,民营企业发展大厦
塘北中路,金御兰庭小区,旅游职业学院
萧杭路,金浦明苑西区,丝雨美容美发
申达路,回澜北园,杭州恩斯克万达电动转向系统有限公司
永红路,南区米兰阳光,新农都水产市场
文源社区,时代广场,义蓬购物中心
运东村,徐家河社区,浙江胜利羽绒制品有限公司
山河村,道前峰小区,电信大楼
盛乐村,宁泰家园,浙师大萧山校区
道源路,嘉利公寓,力龙液压旁边鼎腾实业公司
萧然南路,新和人家小区,张潭村英联洁具
建设2路,城品华庭,萧山广播电视中心
横蓬村,丽都公寓,光束时装
江东一路,宝龙城市广场,杭州天成印染有限公司
虹迪路,钱江新村二区,加州阳光
成虎路,荷韵江南苑,大成名座
永盛路,恒晟御景湾,萧山中医院
沙田头村,莱茵园小区,杭齿宿舍
蜀山路,金榈湾小区,柏山陈临水苑
三江新村,向阳嘉苑,航民公寓二区
城南村,洄兰北苑,浙江同济职业技术学院
闻堰街道,广浦公寓,原野汽配城
浙江杭州,民营企业大厦,南岸花城竹雾苑
旺角城,姚江岸家园,山后金域三江小区
航坞路,旺角城小区,与明星路交叉口保利霞飞郡
回澜路,梦秀公寓,欧韩名品）店（转
街道,（方家,丰瑞北苑
城河街,二轻大厦,房地产大厦
知稼苑,通惠丽港,文钦超市
大通路,向红小区,星河景庭公寓
湘南村,小石桥社区,一楼熊猫服饰，包裹内注明淘宝会员名订单编号退换原因，支持普通快递，拒收平邮，拒收到付件
紫霞村,香江大厦,世纪华联超市
萧山开发区,广聚公寓,杭州雅马哈乐器有限公司
三新村,文澜苑,咔淘电子商务园区小南家（一定要保留好您寄回的快递单号
商贸街,绿茵园小区,信达财险
长风路,都市广厦,第一人民医院通惠分院
义蓬路,港家园,至高钱塘一品小区
春江苑,华瑞中心,杭州永明塑料包装有限公司
坎山路,义名苑小区,佰惠拓超市
江东六路,江南丽锦,杭州萧山国际机场规划部章伟收（汽运大楼
交叉路,万和国际,天宝伞业
沙田镇,董家埭社区,浙江省旅游职业学院
江东开发区,万泰华庭,同济科技职业学院
南阳经济开发区,佳境天城,邮政局
义盛路,红枫小区,第三小学
湖东村,南门江社区,东方文化园奇景家苑
虎门镇,钱塘江石材市场,中国铁建青秀城
长安镇,蹓跶公寓,杭州保税物流
临江工业区,景泰公寓,富丽达集团达丰公司
河中路,东藩小区,旺角城
湖滨花园,云涛名苑小区,三元纺织有限公司
盛中村,靖安社区,宝盛世纪中心
三江花园,陈家园,，浙江师范大学萧山校区
新港村,高桥社区,咔淘三楼
党柯路,顺发和美家小区,韵达快递
红垦农场杭,联丰社区,靖立源服装二楼（请内附配货单不收到付快递周日不送货不上门取件）有问题可联系柴小姐
加州阳光,社区张家,泰富广场写字楼
靖江路,樟树新区,祥利村九浪山花园
永联村,嘉瑞华庭,战纪服饰有限公司
为民路,南勤公寓,交界处德圣博奥城
前进镇,（南侧）,浙江福临门医药有限公司
东灵北路,金榈湾嘉园,东南网架股份有限公司
纬七路,崇化社区,汇宇清河苑三期
金一村,物流中心二区,高新科技广场
凤凰家园,——东——,杭州恒达钢构股份有限公司
王家桥,金地天逸北区,新世界柏丽轩
通二村,荣庄新村中区,东信莱茵园
兴五路,名门世家小区,浙江佳力科技股份有限公司
群益开发区,湘墅花园,华瑞湘湖美地
利二花苑,金域兰庭小区,杭州晨晟汽车配件有限公司
永久社区,煤科大厦,华谊服装有限公司
共和村,中誉现代城北区,天辰国际
江南丽锦,回澜南园,萧山中医院财务科
江南摩卡,新安寓小区,向米美容美发
中山市,湖畔宽邸,假日之星员工宿舍
党山工业园区,金色钱塘家园,布丁酒店后面厂房
隐龙湾,潇湘公寓,二幢二楼钱银晴（退换货件建议
谢家村,嘉园清露苑,后寄回，近期寄回如遇快递退回或者不派送运费需要由买家承担
山末址村,玉龙广场,潮锦创意文化园
徐童山下村,江南丽锦小区,民丰村金域兰庭
湖头陈,苑红枫小区,务必填写售后卡片信息，不然无法处理的哦
花城名苑,靖港家园,第四人民医院
天汇园,丽华公寓,华顺图文
盈一村,浦江苑,（家有宝宝睡觉，电话若未接，请放桥头小店）
峙山西路,正元都市阳光,浙江电大萧山学院招生处
罗幕村,文源社区,天汇园
高新五路,金家桥公寓,后方自然村丽水超市
永丰路,湘湖林语小区,（下潦桥新益超市往西）
河东区,丰盛大厦,组泡沫厂对面红色牌子小店
加贸路,冠置地大厦,中国银行
赭东村,花神庙社区,浙江建设职业技术学院图书馆一楼结算中心
学知路,（向阳嘉苑,浙江新世纪家纺有限公司
义蓬中路,潇湘社区,南岸花城兰湖苑
楼塔镇管村,绿都花园,请注意到了打电话仅本人签收
东方文,建材市场,金马饭店
大江东开发区,联合中心南区,巴洛克洁具有限公司
市心路,新义名苑小区,荣盛公寓楼
张家村,紫霞新区,杭州剑晟纺织服饰有限公司
凤凰村,懂家埭社区,新惠名苑
湘滨路,站前商贸广场,杭州品胜胶带厂
嘉润公馆,景苑公寓,城市生活广场一楼棒约翰
东安一路,庆丰小区,杭州落合机械有限公司
萧然西路,崇华小区,汪家塘中凯鞋厂
北干二苑,新惠名苑,兽王电子商务产业园
大桥村,盛达名苑小区,杭州维卓电子商务有限公司
石碣镇,群建小区,新林周镇西农贸市场
新天地,阳光名城,东南科技研发中心
鸿宁路,天林尚高,东信莱茵苑
万源路,俊良社区,杭州奥博康
机电市,浅水湾苑,杭州悠游旅游有限公司
常平镇,口宝龙城市广场,小坑村东莞理工学院城市学院
北干二苑新安寓,盈兴公寓,诺哲服饰
兴园路,湖畔宽邸南区,杭州乐荣电线电器有限公司
萧山桥南,永久社区,开元加州阳光小区
建设4路,裴家新农村,杭州萧山医药化工有限公司
群力村,宁得客房,卫生院
东藩中路,都市阳光广场,中誉现代城
四翔村,金马名仕园小区,圣山科纺有限公司
休博路,徐家河公寓,香江大厦老凤祥
块鸿兴路,发展公寓,网仓科技二楼
新林周村,太富广场,三江花园富春苑
缪家村,街道大街,帛源服饰
建设村,清和园小区,一秒一年
办事处,商城花园,盛元蓝爵国际
青六南路,金家埭社区,咔淘二楼
民丰村,金浦明苑东区,新华幼儿园
纬六路,天海阳光小区,浙江萧山医院
自然村,都市春天小区,新发王衙前汽车站对面商住楼一栋中门
岩峰村,，丰瑞南苑,金足城
桃北新村,新华缘小区,咖啡王子一号店
涝湖村,绿都玫瑰苑,钱塘江石材市场二期
东风村,众安国泰花园小区,段明盛控股集团
星悦湾,潘水社区,大桥小学对面红梅超市
石岐区,金色钱塘北区,西苑海鲜楼
临港工业园,银通大厦,鹤田厦富园路冠腾科技有限公司
长巷村,南欣公寓,城管中队
虎山路,潮峰公寓,世纪华联
镇中村,皇宫公寓,黄公溇瓜沥酿酒厂往东
国庆村,花城名苑西区,中海实业有限公司
闸北村,金蜂小区,金家埭黄家桥阿建理发店
渭水桥村,绿都嘉瑞广场,铁建万科江湾城售楼部
田丰村,绿都市贸广场,幢湘湖幼儿园
桥南经济开发区,自由孔社区,省道东复线浙江万翔寝具有限公司
中誉现代城,利二花苑,街道卓达东方巴哈马三期
飞翔路,湖滨花园小区,杭州大江东地方税务局义蓬税务分局
永福村,碧云天苑,大成名座一幢二单元
创业路,江南摩卡,和平老年医院
西山村,戴家桥公寓,杭州益水环境工程有限公司
义蓬名苑,荣庄新区中,杭州飞尔达精密模具有限公司
通一村,东丽华公寓,波波美业
洄澜路,江南名城,菜市场
商贸城,萧然人家,（坎山中学）
新世纪大道,郁家弄小区,萧山闻堰镇湘湖人家中鼎苑
，杭州市,越寨社区,金色钱塘家园
湘湖美地,花园富竹苑,集美印染有限公司
曹家桥,都市广厦东区,鸿兴城巧克力广场藤野理发店。
新农都,明华佳乐苑,江东指定专营店
萧山市,畈里童社区,国际珠宝城
进化村,顺发江南丽锦小区,锦绣国际美容美发
红山村,郎彭百强大厦,西纳维思
新惠名苑,，天林广场,中南钢构
寮步镇,湘域湾,新塘下潦新益佳超市旁手机店
向公村,春益小区,都市阳光广场
新峡路,山水苑社区,钱江世纪城嘉润公馆
乐园路,住宅公寓,半妆服饰（拒绝平邮到付、请在物品写好您的旺旺
瓜港东路,新农都二区,凯达文具用品有限公司
义府大街,星馨大厦,杭州欧盛纺织品有限公司
大江东,鸿福大厦,广元公寓东门监控室外丰巢快递柜
前进工业园区,欢潭小区,风情雅苑
新河村,民主（蜀南安置区）,万兴减速机员工宿舍
瓜南路,都市春天名苑北区,盛元化纤有限公司
蜀南村,盛和苑,第一人民医院
萧棉路,曹家桥社区,地平线房产
新围村,西河公寓,天林尚高酒店
东城街道,花城名苑,文伟村欣发交通设施有限公司
利华路,宁牧公寓,越海报关行
联华社区,社区新区,市北集体公寓
江东二路,，浦江苑,蔚蓝时代
芝兰村,牛角湾小区,新塘小宾馆
金星村,徐家和社区,中国银行大厅
桃湖村,华达小区,思远电脑绣花制版
群益村,知稼苑小区,萧山地方税务局
山水苑,佳峰南苑,大院内比邻汽车服务会所
金融路,沁茵园小区,女装园区汉帛国际服装有限公司
工农村,拱秀社区,（手机店
井头王社区,，宏河嘉园,宏福锦纶有限公司
桥头村,花城名苑东区,湘湖科创园
南校区,宝德公寓,九州通集团杭州医药有限公司
中心路,正元·都市阳光广场,萧山绍剧艺术中心
东复村,，曹家桥社区,部队内通绿机械厂
江寺路,江南明城南区,幢龙潮化工有限公司
盛东村,湖南苑,南门传达室
横栏镇,湘湖林语公寓,杭州诚信建筑设计
青年路,顺风家园,湘湖人家小区中鼎苑
萧山高校园区,绿都湖滨花园,新四方美食城
春晓苑,新中花苑,荣盛小区员工宿舍门卫二单元
临江开发,下潦社区新区,，全网通手机店
墅上王村,交叉。加州阳光公寓,浙江双兔新材料有限公司
蛟山村,楼二新区,萧山高教园浙江同济科技职业学院
安山村,明朗花园,浙江恒迪寝具有限公司
高新九,明明怡怡花苑,雷诺德传动机械杭州有限公司
红山大道,，太古广场,交汇口和美家
兆丰路,育才苑小区,浙江胜马国际货运代理有限公司
青秀城,城市生活广场,杭州萧山南阳造纸有限公司
双圩村,万豪广场,浙江杭州萧山钱江农场纤手理发店
经三路,天合苑,二楼蓝堡健身美容部
化园步行街,南岸明珠广场,杭州福达物资石化有限公司
项漾村,丰瑞北苑丰瑞北苑,越山村公交站牌旁生态饭店
高新,市北宁税社区,瓜沥派出所
南庄王村,山水苑小区,钱江世纪城江南丽锦
青六路,楼家塔下蒋小区,秋盛楼
五六二村,钱塘一品小区,靖江初级中学
奥兰多小镇,钱江农场钱江新村一区,诺德服饰
新东名苑,荣盛公寓,道统一企业有限公司
大朗镇,江南明城小区,三江花园闻涛苑
，宁围镇,口顺丰家园,卫生服务中心
临一村,农资大厦,浙江旅游学院北校区
北干山,回澜南院,嘉润公馆
坎红路,恒源国际大厦,杭州欣良仓储服务有限公司（一定要清单，收件人看清楚，谁拍的货发给谁，合并发货要提前说明
道三丰路,山北新苑,沙县小吃
临浦工业园区,中亚大厦公寓,杭可电子
墅上王,南翔名苑,义蓬镇红泉路万兴减速机场
清溪镇,金茂大厦,浦南卫生院
荣庄村,北干公寓,开元名都大酒店
安置区,绅园小区,创慧园三餐缘快餐店
红垦农场垦辉六路,姚江岸花园,室小王车行
卫生院,银通大厦西,幼儿园
滨水名庭,龙发大厦,万向初中
瑛珠桥,，钱江电声,杭州）食品有限公司
前进工业园,明辉花园小区,三水一生家园
益农路,诚意公寓,向阳学校
东溪路,京明凤凰家园南苑,新街花木城东大门二期三环
金山路,嘉福广场,杭州万洲金属制品有限公司
厚街镇,开元加州阳光广场,南岸花城桂雨苑
万向美,怡和公寓,萧山高教园浙江建设职业技术学院
涝湖村东陈,湘域湾小区,红山农场一分厂
垦辉六路,路集体公寓,君悦丽景
下浦王,运发大厦,嘉利公寓集体公寓
建材市场,中兴广场,金顺客房四楼
衙前村,南星悦湾小区,临江商贸城允飞手机店
郁金香,钱江农场新村,交叉口恒大帝景售后服务中心
东康路,供销大厦,沈建华布厂
南路,众安隐龙湾,龙眼浩盈制衣厂
新街街道,江南丽锦苑,（大润发超市如口处）美食城二楼滏山汇海鲜火锅自助
红垦路,钱江世纪城丰瑞北苑,本人不在家房东签收
青兴路,戈雅小区,北侧江苏皓腾
和顺村,江景园,与鸿宁路交叉口望京国际
博奥城,，往东,广元公寓六幢
临港工业区,凯晨大厦,塘朗姚村村委
北塘东路,恒逸公寓,小区流翠苑
伟南社区,人才公寓,杭州台湾城
螺东路,隐龙湾小区,靓丽服饰店
云涛名苑,向前小区,中心里士湖畔科尔南城景园
湘湖家园,加洲阳光,瓜港三路盛夏家具旁网仓科技有限公司
创意产业园,白马公寓,浙江恒逸石化有限公司营销中心
尖山村,洄澜南园,萧山国际机场浙旅大酒店
永金路,蓝爵国际小区,塘下联华超市
外六工,口明辉花园,）杭州炳旭金属
靖江工业园区,知嫁苑,银隆君亭酒店前台
百合苑,盛都苑小区,组旺杰卫浴旁
建一村,汇林水苑,白云地磅（金点子商务酒店旁
南城景园,百强大厦,浦南永翔电缆集团有限公司对面美丽心情美容美发
钱农三路,牛脚湾小区,大地影院
盈丰路,明华小区,大石盖村石盖桥西
新联村,同心家园六期,新生印染
市中心路,林之语小区,杭州金晨纺织印花有限公司
龙虎村,金域兰亭小区,银州工具有限公司
帝景园,教会前小区,永彰汽车电子有限公司
长红村,得力·半岛花园,嘉丰公馆
远大村,集体公寓,钱江电气制造有限公司
联华新村,中誉万豪,坎山中心幼儿园
下城区,河庄向前小区,航飞商务酒店的后面
都市春天,绅元小区,伟达通信
三亚市,回澜南园小区,漂亮宝贝美容美发店
红泰四路,泰和天辰国际广场,小区风雅苑
金家桥路,（水城,俊阳家具厂
顺发康庄,潘水苑潘水小区,欧尚照相馆
沿江村,乐丰花园,社区舒泉浴场
商贸路,姚家谭公寓,屋世纪华联超市
集运仓,东协广场,、山河村赛可秀品、有限公司
站前路,香阁名苑小区,云杰塑胶有限公司
休博园,，新南郡嘉苑,杭州金盾印务有限公司
长山头村,崇化俊良社区,佳境天成成合苑
陈家园村,馨新大厦,商贸桥北阿虎花圈店
经六路,中惠丽阳时代,杭州婉饰琳家纺有限公司
宁东村,戈雅公寓高层,层业务部
江东三路,向阳嘉苑（雷山,部队杭州万青汽车零部件有限公司
党山群益,开元单身公寓,民企发展大厦座
义南村,国贸大厦,（振发木业有限公司老厂）
镇中路,保税大厦,鼎盛服装雷迪森宿舍
雷东村,华瑞·晴庐,萧山高教园区同济科技职业技术学院
高新八路,圣和花园圣和花园,碧欧特洁具
北大门,路光驰大厦,浙江师范大学萧山校区耕文路
杏花村,溜达公寓,（佰惠拓超市）
生兴路,荣庄新区东,灵鹭私人定制
联三村,义南社区,浙江钱富冷挤机械有限公司
沙里吴村,百尺溇公寓,进门第一间
盈二村,商业城中区,妙焕旅馆（万向物业公司
青六北路,宁稅社区,陈家园村志海化纤厂以西
南区街道,王有史广泽小区,精神卫生中心
朱家埭,江南大院,浙江杭州萧山桥南
江东五路,协和辉丰大厦,，百惠括超市
大溪路,名店广场,雪狼体育馆前面，车航汽修
下湘湖路,兴农小区,，云峰汽修
一都孙村,跨境园区,凯丽晶座
许家老屋,雍景湾花园,高级中学
庆春路,明秀苑,（瑞凯机电有限公司
金泉村,际小区,保利霞飞郡房家加青年社区
水田畈路,，嘉富广场,浙江师范大学杭州幼儿师范学院
村委会,丰北三苑,明江苑一幢三单元
君悦丽景,老年公寓,十组四十号
石马头村,城品华庭小区,汇德隆嘉富广场一栋一单元
茉莉苑,御景湾小区,罗幕村新义名苑
黄家章,中亚大厦,金马同盛
海棠路,望京大厦,咔淘电子商务园
韩家埭,柏丽轩大厦,永福村卫生服务站
红泉路,南大房社区,长山农产品批发市场
城中社区,东片文源社区,金帝高新科技广场
畈里童社区,安宁社区,比华利保罗专柜
三岔路,泰富公寓,杭州久阳塑胶管业有限公司
博学路,金浦名苑,（浙江萧山医院检验科）
坎山商贸路,湖畔宽邸小区,第二中等职业学校后面
与金城路,大米公寓,顺发美之园西区美林苑
长联村,萧然大厦,云峰汽修）
单木桥村,党山碧苑小区,（杭州东岱珠宝饰品有限公司
大桥工业园区,正元都市阳光广场,许贤开发区福临门医药有限公司
迎宾路,富力花园,鑫福纺织
东灵南路,江盛社区,三水公寓月湖苑
义隆路,和辉丰大厦,（富桥足浴店楼上
国道与,华瑞大厦,交叉口宇隆纺织有限公司
高新七路,村（门牌,杭州中原变速器有限公司
小石桥,义蓬名苑小区,北京东燕郊开发区行宫东大街福成四期
军民路,钱啤小区,中国银行萧山支行
南虹路,苑潘水南苑,家家乐超市
祥大房,嘉瑞华庭小区,新时代大酒店
材市场,缪家新区,红庭商务宾馆
三丰路,广谊小区,财和湘域湾小区
菜市场,绿都百瑞大厦,萧山第三人民医院
共兴村,富逸装饰广场,贺知章学校
古镇镇,林之语嘉园,杭州萧然会计师事务所
梅东村,星河景庭公寓,杭州盛隆机械厂
党山为民路,姚家岸家园,萧山农产品批发市场警务室收
渔庄村,家景宛小区,米金地天逸售楼部
东藩南路,绿都四季华庭小区,卡诺尼移门
规划二路,黄旗印象,萧山国际机场
岳联村,青秀城小区,维卓电商售后，拒收到付和平邮
万安村,宝盛大厦,开元加州阳光单身公寓
丰北村,中誉·现代城,老凤祥专卖店
高新六路,都市广厦中区,北干二苑新安寓
南勤集团,西山公寓,杭州禾声科技有限公司
湖园二路,云福嘉苑,南岸花城梅州苑
钱农西路,湘湖家园小区,欧进电线电缆有限公司
靖南村,林之语嘉苑清露苑,恒逸金榈湾
苎东村,金家浜社区,（家联超市）
高新十一路,健身广场,赭山中心幼儿园
美圣路,龙虎村新区,横篷村中和大酒店
杭州大,汇丰大厦,萧山机场航空货站
三盈村,口，宝龙广场,东大门兰州拉面对面超市
靖一村,（嘉利公寓,，花木城世纪联华超市
靖江靖,七号骏豪大厦,米路西科威迪手持缝伞设备专卖店
钱江科教园,义蓬购物广场,四幢四楼怡和蜡像
名港城,孔湖新区,远成快运
区规划,南，星悦湾,浙江万达汽车方向有限公司
利二村,郁金香岸（绿城）,供销大厦
金山村,，水务大厦,第二高级中学
富裕路,工人路社区,政鑫经典橱柜
头蓬镇,伟南社区,，进江微车配件有限公司
宁安村,东景苑,众安隐龙湾
购物中心,珠江大厦,杭州前进齿轮箱集团股份有限公司
彭家桥,汇宇大厦,梅林湾石材市场
海南省,丽城花园,南岸花城丹虹苑
科创大道,江南明城金座,三围村名航卫浴
萧山新街镇,江南南街,兰玫瑰会所
裘江新村,农业农业大厦,万和国际
群联村,君悦丽景公寓,（潇潇服饰城
所前中路,明怡花苑小区,东南科技大厦
鸿兴城,红垦小区,外贸部订单
龙记南门,君悦丽景小区,杭州隆泰金属材料有限公司
红垦农场,浴美苑小区,杭州发达齿轮箱集团有限公司
金二村,钱江农场新村二区,鸿兴城女装园汉帛国际二号三楼
万江街道,丰瑞北院,请写在发货单上否则拒收拒收到付件）
长山街道,明华花园明昌苑,滨水名庭
新白马公寓,江盛公寓,杭州世外桃源皇冠假日酒店
沈家里,南门社区,绿城郁金香岸含江苑
明华村,化园往南,永琪美容美发
许家新,井头王社区,东风裕隆汽车有限公司
宁泰路,众安公寓,中逸润远
众安村,泰富单身公寓,萧山中学
浴美施路,都市广厦新区,高新十路欣良仓储（留言备注的
瓜渔路,西区广场,杭州市南郊监狱
欣美路,天汇园小区,江南明城金座
